,budget,original_language,release_date,revenue,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_revenue,real_profit
115,130000000.0,en,2004-05-31,789804554.0,141.0,Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy, Mystery",2004,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",PG,8.033333333333333,178112387.50661722,1082107498.2810693,903995110.7744521
117,97000000.0,en,2017-05-09,232380243.0,122.0,Alien: Covenant,"Horror, Sci-Fi, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",R,6.3,102417864.71932113,245359673.1032678,142941808.38394666
120,165000000.0,en,2014-11-05,675120017.0,169.0,Interstellar,"Adventure, Drama, Sci-Fi",2014,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",PG-13,8.100000000000001,180385809.50932685,738073156.2575485,557687346.7482216
122,1500000.0,en,2016-10-21,2000000.0,112.0,I'm Not Ashamed,"Biography, Drama",2016,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",PG-13,5.466666666666667,1617521.5722874748,2156695.429716633,539173.8574291584
123,100000000.0,en,2018-11-27,83672673.0,129.0,Mortal Engines,"Action, Adventure, Fantasy, Sci-Fi, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",PG-13,5.533333333333333,103068014.83033128,86239763.01657459,-16828251.81375669
124,13000000.0,en,2013-03-20,319494638.0,112.0,The Conjuring,"Horror, Mystery, Thriller",2013,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",R,7.266666666666667,14442764.115265906,354952745.5943286,340509981.4790627
126,40000000.0,en,2016-05-13,320392818.0,134.0,The Conjuring 2,"Horror, Mystery, Thriller",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",R,7.0,43133908.594332665,345494863.1473165,302360954.5529839
129,2000000.0,en,2018-07-13,2006704.0,105.0,Siberia,"Crime, Romance, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",R,4.166666666666666,2061360.2966066257,2068269.9763208511,6909.679714225465
131,62000000.0,en,2018-07-19,102084362.0,121.0,The Equalizer 2,"Action, Crime, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",R,6.1,63902169.19480539,105216325.36560906,41314156.17080367
132,70000000.0,en,2018-06-07,297718711.0,111.0,Ocean's Eight,"Action, Comedy, Crime, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",PG-13,6.666666666666668,72147610.3812319,306852765.2061511,234705154.82491922
