adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,,,0,"[{'id': 27, 'name': 'Horror'}]",,488115,tt7546024,en,It Kills: Camp Blood 7,A group of college kids on break find themselves in a terrifying situation when they become stranded at the infamous Camp Blood.,7.5120000000000005,/dSGOTXQzPe21tYMZjAhOB9mqWoE.jpg,"[{'id': 6765, 'logo_path': None, 'name': 'Sterling Entertainment', 'origin_country': ''}, {'id': 11976, 'logo_path': None, 'name': 'Polonia Brothers Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-11-11,0,0.0,[],Released,Float this,It Kills: Camp Blood 7,False,5.0,5,234835.0,Camp Blood Collection,/oYWPRCjbbUUtWesj54PKp93benY.jpg,/gy343fn9371kzc1wATv440zzzcA.jpg
False,/cG8euYgpchG20ujxBcrFZezQsRB.jpg,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://www.stefonbristol.com/see-you-yesterday,488145,tt6003934,en,See You Yesterday,"Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build make-shift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer.",1.848,/5Dd1nRyh9tq8PehA9yl6J1MjZ1V.jpg,[],[],2017-05-31,0,15.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,How many times does it take to save a life?,See You Yesterday,False,7.6,8,,,,
False,,,0,[],http://www.arjanbrentjes.nl/sand.html,488153,tt6917838,en,Sand,"You get up at five, eat your vitamins, take some water with your coffee, work for a few hours, eat your omegas and flavonoids, work a little more, get some exercise and then take a shower. But don't bother trying to wash the sand out of your hair.",0.6,/iIHuCFe0vp1dYoXutnFgyADxZPe.jpg,[],[],2017-09-22,0,4.0,[],Released,"animation, short, comedy",Sand,False,4.0,1,,,,
False,,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,488156,tt5573130,en,Pregnant Pause,"Steph is in a happy, long-term relationship, but now she might be pregnant she has no idea what she wants.",1.857,/rAkaPlFRPIuVZdMent7QtZsvXA4.jpg,[],[],2016-10-19,0,14.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Pee. Wait. Panic,Pregnant Pause,False,10.0,1,,,,
False,,,0,"[{'id': 35, 'name': 'Comedy'}]",http://www.nebraskasupersonic.com,488170,tt0258834,en,Nebraska Supersonic,"Three friends in Omaha, NE start a bicycle courier service.",0.6,/1EX8ZiTUVOzVYXoPfBGtgOH2t2z.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",,0,75.0,[],Released,...like a greyhound on crack,Nebraska Supersonic,False,4.0,1,,,,
False,,,0,[],,488184,tt7336238,en,Closed Visit,"How would you cope if you could only see your son from behind a screen? Closed Visit is a fictional animation based on the real experiences of British single fathers. Paul hasn't seen his son in five months since the divorce, the only form of contact he is allowed is through a weekly video call. Closed Visit is a modern day story of technology acting as both a coping mechanism and a source of pain. Using the messages of single fathers on internet forums and both the director's own experiences of being a single parent child, this animation explores isolation, separation and loss.",0.6,,"[{'id': 97593, 'logo_path': None, 'name': 'Kingston University London', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2017-10-18,0,2.0,[],Released,"animated, short",Closed Visit,False,0.0,0,,,,
False,,,0,[],,488240,tt2139573,en,Alicia's Dream,"A couple meet at a wedding near a forest, where they spend the night together. The next morning, they cannot find their way back and must confront strange forces that will push their personalities to the limit.",0.6,/vO64gag3FPBoKdi91oJyxTWvQ1d.jpg,[],[],2017-09-22,0,77.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Some dreams turn into nightmares...,Alicia's Dream,False,5.0,1,,,,
False,,,0,"[{'id': 27, 'name': 'Horror'}]",http://www.killerchristmas.com,488242,tt6456768,en,Killer Christmas,A slow-burn suspense Christmas horror where six friends explore an abandoned hotel near a Christmas tree lot only to find themselves being murdered one-by-one by someone in a Santa mask.,7.888999999999999,/exXMjCBfbEpeLXfdOZ6GQ4ij5Sz.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-11-22,0,84.0,[],Released,Whisper what you'll bring to me,Killer Christmas,False,6.3,4,,,,
False,/rhxnEfL8bWqSvWMXkWRHWTUygom.jpg,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",http://prettyvacantboys.com/index.html,488256,tt11640552,en,Don't Love Me,"The first days of a true love affair between 2 boys in the city of Berlin...  Two twenty-something boys have anonymous sex... The day after, they decide to date... They get to know each other, have fun, party and fall in love...  Alex and Alexander have sex, then decide to date, explore the city and get to know each other... They party, they kite, they share their secrets... As they become more and more intimate, we wonder: are they falling in love?  An urban, contemporary and unscripted real love story between two boys in the city of Berlin.",7.747000000000001,/nnPHD7RNOG6iv4JnTAZNMm0dZXU.jpg,"[{'id': 97614, 'logo_path': None, 'name': 'Pretty Vacant Boys', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2017-04-25,0,85.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The first days of a true love affair between 2 boys in the city of Berlin...,Don't Love Me,False,0.0,0,,,,
False,/3zDdApFaObZ1xgECHng3xrDlFqt.jpg,,0,[],https://www.facebook.com/knotfilm/,488266,tt6598364,en,The Knot,A couple use magic to stay together but after things go sour they have to reverse what they have done.,0.6,/jGmmMbhMWq1Mn6lonzCzxEiGsvk.jpg,"[{'id': 97644, 'logo_path': None, 'name': 'Lee Productions Inc.', 'origin_country': ''}]","[{'iso_3166_1': 'LC', 'name': 'St. Lucia'}]",2017-09-20,0,15.0,[],Released,Love can be a tied up thing!,The Knot,True,0.0,0,,,,
