,original_language,release_date,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_profit
131,en,2018-07-19,121.0,The Equalizer 2,"Action, Crime, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",R,6.1,62000000.0,40084362.0
132,en,2018-06-07,111.0,Ocean's Eight,"Action, Comedy, Crime, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",PG-13,6.666666666666668,70000000.0,227718711.0
133,en,2018-06-27,122.0,Sicario: Day of the Soldado,"Action, Adventure, Crime, Drama, Mystery, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",R,6.666666666666667,35000000.0,40836683.0
134,en,2012-03-01,88.0,Project X,Comedy,2012,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",R,6.033333333333333,13124402.205632553,96245616.17463872
135,en,2018-07-25,105.0,The Darkest Minds,"Action, Adventure, Drama, Romance, Sci-Fi, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",PG-13,5.533333333333333,34000000.0,7142379.0
136,en,1988-10-21,94.0,The Bear,"Adventure, Drama, Family",1988,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",PG,6.9,53065722.73879966,240368667.04441246
138,en,2018-01-10,143.0,Maze Runner: The Death Cure,"Action, Adventure, Sci-Fi, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",PG-13,6.133333333333333,62000000.0,226175335.0
140,en,2018-01-17,105.0,Fifty Shades Freed,"Drama, Romance, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",R,4.7333333333333325,55000000.0,313307760.00000006
141,en,2002-05-24,83.0,Spirit: Stallion of the Cimarron,"Animation, Adventure, Drama, Family, Western",2002,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",G,6.699999999999999,111665147.3040578,59410798.15271261
143,en,2013-07-11,131.0,Pacific Rim,"Action, Adventure, Sci-Fi",2013,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",PG-13,6.733333333333333,194024047.3563791,245335761.17885274
148,en,2008-10-03,91.0,Beverly Hills Chihuahua,"Adventure, Comedy, Drama, Family, Romance",2008,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",PG,4.3999999999999995,23325917.42799682,150780603.32574096
149,en,1998-06-18,88.0,Mulan,"Animation, Adventure, Family, Fantasy, Musical, War",1998,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",G,7.533333333333333,138648036.80981594,330167582.95201224
150,en,1996-11-17,103.0,101 Dalmatians,"Adventure, Comedy, Crime, Family",1996,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",G,5.5,86423059.27342255,426816753.017578
151,en,2014-03-07,138.0,Noah,"Action, Adventure, Drama",2014,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",PG-13,6.033333333333333,132588093.91051637,252063196.69425434
154,en,2002-03-10,81.0,Ice Age,"Animation, Adventure, Comedy, Family, Fantasy",2002,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",PG,6.933333333333334,82353046.13674264,452602760.6978988
155,en,2018-09-05,96.0,The Nun,"Horror, Mystery, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",R,5.233333333333333,22000000.0,343550119.0
