date,Biutiful,True Grit,The Social Network,The King's Speech,127 Hours,The Fighter,Winter's Bone,The Town,The Kids Are All Right,Rabbit Hole,Black Swan,Blue Valentine,Animal Kingdom,How to Train Your Dragon,The Illusionist,Toy Story 3,Alice in Wonderland
2010-09-30,,,,0.0,,,,30.0,,,,,,,,,
2010-10-01,,,64.0,0.0,,,,32.0,,,,,,,,,
2010-10-02,,,100.0,0.0,,,,49.0,,,,,,,,,
2010-10-03,,,91.0,0.0,,,,40.0,,,,,,,,,
2010-10-04,,,68.0,0.0,,,,28.0,,,,,,,,,
2010-10-05,,,38.0,0.0,,,,25.0,,,,,,,,,
2010-10-06,,,35.0,0.0,,,,23.0,,,,,,,,,
2010-10-07,,,32.0,,,,,27.0,,,,,,,,,
2010-10-08,,,30.0,,,,,33.0,,,,,,,,,
2010-10-09,,,46.0,,,,,34.0,,,,,,,,,
2010-10-10,,,54.0,,,,,35.0,,,,,,,,,
2010-10-11,,,37.0,,,,,28.0,,,,,,,,,
2010-10-12,,,26.0,,,,,23.0,,,,,,,,,
2010-10-13,,,21.0,,,,,19.0,,,,,,,,,
2010-10-14,,,22.0,,,,,20.0,,,,,,,,,
2010-10-15,,,26.0,,,,,24.0,,,,,,,,,
2010-10-16,,,42.0,,,,,,,,,,,,,,
2010-10-17,,,42.0,,,,,,,,,,,,,,
2010-10-18,,,27.0,,,,,,,,,,,,,,
2010-10-19,,,15.0,,,,,,,,,,,,,,
2010-10-20,36.0,,15.0,,,,,,,,,,,,,,
2010-10-21,36.0,,17.0,,,,,,,,,,,,,,
2010-10-22,19.0,,15.0,,,,,,,,,,,,,,
2010-10-23,51.0,,26.0,,,,,,,,,,,,,,
2010-10-24,100.0,,17.0,,,,,,,,,,,,,,
2010-10-25,53.0,,15.0,,,,,,,,,,,,,,
2010-10-26,35.0,,11.0,,,,,,,,,,,,,,
2010-10-27,53.0,,13.0,,,,,,,,,,,,,,
2010-10-28,54.0,,10.0,,,,,,,,,,,,,,
2010-10-29,0.0,,14.0,,,,,,,,,,,,,,
2010-10-30,51.0,,17.0,,,,,,,,,,,,,,
2010-10-31,27.0,,17.0,,,,,,,,,,,,,,
2010-11-01,56.0,,11.0,,,,,,,,,,,,,,
2010-11-02,0.0,,,,,,,,,,,,,,,,
2010-11-03,51.0,,,,,,,,,,,,,,,,
2010-11-04,88.0,,,,,,,,,,,,,,,,
2010-11-05,19.0,,,,92.0,,,,,,,,,,,,
2010-11-06,99.0,,,,100.0,,,,,,,,,,,,
2010-11-07,0.0,,,,87.0,,,,,,,,,,,,
2010-11-08,53.0,,,,36.0,,,,,,,,,,,,
2010-11-09,35.0,,,,44.0,,,,,,,,,,,,
2010-11-10,36.0,,,,39.0,,,,,,,,,,,,
2010-11-11,0.0,,,,37.0,,,,,,,,,,,,
2010-11-12,38.0,,,,43.0,,,,,,,,,,,,
2010-11-13,50.0,,,,50.0,,,,,,,,,,,,
2010-11-14,25.0,,,,36.0,,,,,,,,,,,,
2010-11-15,89.0,,,,41.0,,,,,,,,,,,,
2010-11-16,17.0,,,,27.0,,,,,,,,,,,,
2010-11-17,17.0,,,,30.0,,,,,,,,,,,,
2010-11-18,53.0,,,,45.0,,,,,,,,,,,,
2010-11-19,19.0,,,,60.0,,,,,,,,,,,,
2010-11-20,0.0,,,,78.0,,,,,,,,,,,,
2010-11-21,,,,,85.0,,,,,,,,,,,,
2010-11-22,,,,,48.0,,,,,,,,,,,,
2010-11-23,,,,,47.0,,,,,,,,,,,,
2010-11-24,,,,,46.0,,,,,,,,,,,,
2010-11-25,,,,,54.0,,,,,,,,,,,,
2010-11-26,,,,,63.0,,,,,,,,,,,,
2010-11-27,,,,,71.0,,,,,,,,,,,,
2010-11-28,,,,,67.0,,,,,,,,,,,,
2010-11-29,,,,,35.0,,,,,,,,,,,,
2010-11-30,,,,,35.0,,,,,,,,,,,,
2010-12-01,,,,,38.0,,,,,,,,,,,,
2010-12-02,,,,,22.0,,,,,,,,,,,,
2010-12-03,,,,,45.0,,,,,,80.0,,,,,,
2010-12-04,,,,,51.0,,,,,,83.0,,,,,,
2010-12-05,,,,,48.0,,,,,,68.0,,,,,,
2010-12-06,,,,,,,,,,,49.0,,,,,,
2010-12-07,,,,,,,,,,,39.0,,,,,,
2010-12-08,,,,,,,,,,,37.0,,,,,,
2010-12-09,,,,,,,,,,,36.0,,,,,,
2010-12-10,,,,,,,,,,,51.0,,,,,,
2010-12-11,,,,,,,,,,,65.0,,,,,,
2010-12-12,,,,,,,,,,,56.0,,,,,,
2010-12-13,,,,,,,,,,,47.0,,,,,,
2010-12-14,,,,,,,,,,,51.0,,,,,,
2010-12-15,,,,,,,,,,,46.0,,,,,,
2010-12-16,,,,,,,,,,37.0,45.0,21.0,,,,,
2010-12-17,,,,,,81.0,,,,83.0,58.0,13.0,,,,,
2010-12-18,,,,,,93.0,,,,82.0,97.0,13.0,,,,,
2010-12-19,,,,,,96.0,,,,72.0,87.0,7.0,,,,,
2010-12-20,,,,,,54.0,,,,43.0,77.0,14.0,,,,,
2010-12-21,,,,,,46.0,,,,33.0,67.0,12.0,,,,,
2010-12-22,,61.0,,,,44.0,,,,20.0,73.0,24.0,,,,,
2010-12-23,,92.0,,,,53.0,,,,39.0,67.0,37.0,,,,,
2010-12-24,,80.0,,,,56.0,,,,67.0,62.0,15.0,,,,,
2010-12-25,,88.0,,,,57.0,,,,32.0,61.0,16.0,,,,,
2010-12-26,,100.0,,,,60.0,,,,49.0,78.0,17.0,,,,,
2010-12-27,,79.0,,,,66.0,,,,59.0,78.0,20.0,,,,,
2010-12-28,,63.0,,,,59.0,,,,26.0,79.0,22.0,,,,,
2010-12-29,,57.0,,,,61.0,,,,31.0,70.0,45.0,,,,,
2010-12-30,,50.0,,,,59.0,,,,53.0,66.0,50.0,,,,,
2010-12-31,,59.0,,,,72.0,,,,42.0,67.0,84.0,,,,,
2011-01-01,,79.0,,,,93.0,,,,51.0,78.0,36.0,,,,,
2011-01-02,,87.0,,,,100.0,,,,73.0,100.0,76.0,,,,,
2011-01-03,,47.0,,,,62.0,,,,80.0,63.0,38.0,,,,,
2011-01-04,,35.0,,,,44.0,,,,59.0,,36.0,,,,,
2011-01-05,,29.0,,,,44.0,,,,27.0,,35.0,,,,,
2011-01-06,,31.0,,,,39.0,,,,32.0,,39.0,,,,,
2011-01-07,,29.0,,,,42.0,,,,68.0,,51.0,,,,,
2011-01-08,,54.0,,,,72.0,,,,40.0,,69.0,,,,,
2011-01-09,,88.0,,,,60.0,,,,59.0,,58.0,,,,,
2011-01-10,,36.0,,,,37.0,,,,39.0,,43.0,,,,,
2011-01-11,,21.0,,,,27.0,,,,34.0,,26.0,,,,,
2011-01-12,,20.0,,,,31.0,,,,23.0,,34.0,,,,,
2011-01-13,,23.0,,,,30.0,,,,50.0,,37.0,,,,,
2011-01-14,,28.0,,,,30.0,,,,100.0,,61.0,,,,,
2011-01-15,,49.0,,,,66.0,,,,94.0,,81.0,,,,,
2011-01-16,,44.0,,,,70.0,,,,100.0,,100.0,,,,,
2011-01-17,,34.0,,,,90.0,,,,,,,,,,,
2011-01-18,,19.0,,,,,,,,,,,,,,,
2011-01-19,,12.0,,,,,,,,,,,,,,,
2011-01-20,,12.0,,,,,,,,,,,,,,,
2011-01-21,,16.0,,,,,,,,,,,,,,,
2011-01-22,,31.0,,,,,,,,,,,,,,,
